name,description
"Apple","Empresa americana conhecida por seus dispositivos inovadores como iPhone, iPad e MacBook."
"Microsoft","Líder em software, criadora do sistema operacional Windows e do pacote Office."
"Google","Gigante de tecnologia e principal mecanismo de busca, também desenvolve o Android."
"Samsung","Multinacional sul-coreana famosa por seus smartphones Galaxy e eletrônicos de consumo."
"Amazon","Empresa de comércio eletrônico que também lidera no setor de computação em nuvem com o AWS."
"Intel","Principal fabricante de chips de computador, conhecida por seus processadores para PCs e servidores."
"IBM","Pioneira em computação, conhecida por suas soluções em inteligência artificial e nuvem."
"Dell","Fabricante americana de computadores e produtos de TI, reconhecida pelo atendimento corporativo."
"Sony","Empresa japonesa de eletrônicos, conhecida por seus consoles PlayStation e câmeras."
"HP (Hewlett-Packard)","Multinacional de informática, conhecida por seus computadores pessoais e impressoras."
"Nvidia","Líder no desenvolvimento de GPUs para jogos, IA e visualização científica."
"AMD (Advanced Micro Devices)","Concorrente da Intel, desenvolve CPUs e GPUs para computação e jogos."
"Qualcomm","Empresa especializada em chips para dispositivos móveis e tecnologia 5G."
"Huawei","Multinacional chinesa de tecnologia e telecomunicações, conhecida por seus smartphones e redes 5G."
"Xiaomi","Fabricante chinesa de eletrônicos, destacada por smartphones acessíveis e gadgets inovadores."
"Oracle","Líder em software de banco de dados e soluções corporativas para empresas."
"Cisco","Especialista em infraestrutura de redes e soluções de comunicação empresarial."
"LG Electronics","Multinacional de eletrônicos, com destaque para TVs e eletrodomésticos inteligentes."
"Spotify","Serviço de streaming de música que revolucionou a forma de consumir música digital."
"Tencent","Conglomerado chinês de tecnologia, com atuação em redes sociais, jogos e fintechs."
